Probeset	GeneSymbole	Signal
1552772_at	CLEC4D	53.03946558
1552773_at	CLEC4D	105.8873635
1552774_a_at	SLC25A27	167.8155194
1552775_at	GPRC6A	19.51220075
1552777_a_at	RAET1E	159.6887593
1552779_a_at	SLC44A5	41.54393299
1552782_at	SLC44A5	13.53193408
1552783_at	ZNF417	71.94625864
1552785_at	ZNF781	129.313327
1552787_at	HELB	58.52530479
1552788_a_at	HELB	10.79553657
1552789_at	SEC62	587.6302376
1552790_a_at	SEC62	1690.044048
1552791_a_at	TRDN	4545.048971
1552792_at	SOCS4	5.388733785
1552793_at	C8orf31	22.59192077
1552794_a_at	ZNF547	93.90552917
1552796_a_at	SIM1	8.405281141
1552797_s_at	PROM2	22.96925819
1552798_a_at	TLR4	118.799253
1552799_at	TSNARE1	23.4070876
1552800_at	ABHD11	20.07679687
1552801_at	CAPN13	9.438751231
1552803_a_at	STMN1	18.51881217
1552804_a_at	TIRAP	100.9075697
1552806_a_at	NA	20.72881847
1552807_a_at	NA	325.0252921
1552808_at	ADAMTSL1	38.10213099
1552809_at	RFX4	77.18255697
1552811_at	WFIKKN1	23.19262826
1552812_a_at	SENP1	36.56058785
1552813_at	KLF14	84.58552038
1552814_a_at	KLF14	7.228680102
1552816_at	NXNL2	73.60555659
1552818_a_at	BRS3	6.933346621
1552819_at	NCRNA00205	9.251146527
1552822_at	TMX3	64.25845726
1552825_at	ZNF396	16.88428011
1552826_at	SLC26A7	0.840873165
1552827_s_at	SLC26A7	62.11228339
1552828_at	SNX18	6.250603201
1552829_at	NA	133.6788757
1552830_at	FBXO39	9.899778764
1552833_at	B3GNT6	26.25375871
1552834_at	B3GNT6	32.9135309
1552835_at	DENND1B	54.84543525
1552836_at	ZNF619	153.9337243
1552837_at	ICK	2.06373385
1552839_at	FAM71D	22.35875664
1552841_s_at	BCL2L14	80.9920555
1552842_at	HS6ST3	32.6097763
1552843_at	SLC26A1	6.941447797
1552845_at	CLDN15	1352.541576
1552846_s_at	RAB42	176.2459972
1552848_a_at	PTCHD1	15.32802595
1552849_at	C2orf65	7.780532382
1552851_at	ZSCAN4	8.446121965
1552852_a_at	ZSCAN4	11.61416803
1552853_at	VWA5B1	10.06894278
1552854_a_at	VWA5B1	10.79700693
1552856_at	TMEM148	40.21912948
1552857_a_at	HTR6	39.35682786
1552858_at	MAGEB6	9.902117364
1552860_at	TCEB3C	16.06873646
1552862_at	C1orf104	24.49430248
1552863_a_at	CACNG6	735.7279878
1552865_a_at	IFLTD1	182.4793699
1552867_at	NA	349.5707561
1552868_at	C19orf23	16.3655337
