Probeset,GeneSymbole,GeneID,hpBECs,hpBECs + HA,hCMEC/D3,hCMEC/D3 + HA
239708_at,NA,NA,2.247,2.26665,2.165625,2.227825
239709_at,NA,NA,5.75065,5.57295,6.006825,6.0047
239710_at,NA,NA,5.78205,5.600675,6.845025,6.873975
239711_at,ADAL,161823,4.033475,4.131175,4.7709,4.552725
239712_at,C9orf93,203238,2.0059,2.060375,2.280575,2.1875
239713_at,CASC2,255082,2.431675,2.4949,2.476175,2.3831
239714_at,NA,NA,4.5247,4.64855,4.457275,4.46955
239715_at,NA,NA,3.02735,3.042025,3.438125,3.32115
239716_at,NA,NA,3.25965,3.1667,3.3376,3.2445
239717_at,CHRNA10,57053,3.440375,3.435075,3.56025,3.61205
239718_at,NA,NA,4.691575,4.5783,4.746125,4.595125
239719_at,CD109,135228,7.148475,6.66405,6.39175,6.2381
239720_at,ZGLP1,100125288,5.16665,5.112675,5.3196,5.23465
239721_at,NA,NA,6.06455,6.049575,5.651975,5.631575
239722_at,C5orf49,134121,2.92785,2.965825,2.91715,2.85395
239723_at,NA,NA,6.824,6.014925,2.804825,2.6848
239724_at,NA,NA,3.093975,2.997625,3.060175,3.3071
239725_at,PGAP1,80055,5.729475,5.702575,5.6792,5.79845
239726_at,ANK3,288,3.132875,3.10465,3.094125,3.0634
239727_at,DIO3OS,64150,3.73385,3.80635,3.774325,3.65595
239728_at,NA,NA,4.531825,4.48305,4.3166,4.45315
239729_at,NA,NA,4.822525,5.021425,4.938725,5.193475
239730_at,DGCR14,8220,3.99595,4.184525,5.14975,5.108025
239731_at,NA,NA,5.34815,5.271575,5.684875,5.777375
239732_x_at,FAM47C,442444,2.459925,2.4756,2.4564,2.361875
239733_at,DYDC2,84332,2.86005,2.84665,2.906275,2.773025
239734_at,NA,NA,4.006275,3.670675,3.657975,3.76065
239735_at,NA,NA,5.97535,5.93405,5.911825,6.12075
239736_at,NA,NA,3.43315,3.4522,3.433175,3.2654
239737_at,NA,NA,4.2888,4.409375,4.189325,4.129825
239738_at,DACH2,117154,2.311425,2.409275,2.373475,2.330025
239739_at,SNX24,28966,2.711925,2.66285,2.82735,2.7882
239740_at,ETV6,2120,5.2822,5.422125,5.1172,5.164025
239741_at,LOC283658,283658,3.24795,3.54335,2.670875,2.6162
239742_at,TULP4,56995,6.461025,6.4794,6.04285,6.306175
239743_at,SP8,221833,4.2267,4.19895,4.10515,3.989775
239744_at,NA,NA,10.292025,10.331625,8.825575,8.974025
239745_at,NA,NA,2.531875,2.40705,2.561275,2.50615
239746_at,MESDC2,23184,3.5078,3.494725,3.54245,3.4599
239747_s_at,NA,NA,2.5477,2.5301,2.472975,2.455025
239748_x_at,OCIAD1,54940,8.722575,8.67535,8.6082,8.62
239749_at,FAF1,11124,3.922,3.971775,4.454675,4.235375
239750_x_at,VAPA,9218,2.74795,2.75705,2.92025,2.8484
239751_at,NA,NA,3.48295,3.58475,3.441225,3.5717
239752_at,NA,NA,2.9167,2.8815,2.9855,2.808975
239753_at,LOC441383,441383,5.240925,5.109325,5.15015,5.154825
239754_at,NCRNA00188,125144,5.308025,5.29835,5.2716,5.325
239755_at,NA,NA,4.834,4.83005,4.5956,4.39855
239756_at,NA,NA,4.730875,4.736375,4.4835,4.60605
239757_at,ZFAND6,54469,5.413175,5.32395,5.698975,5.783
